검증순서,진행률,판정,Ticker,Strategy,분할수,첫매수LOC여유율,지정가매도%,FinalAsset,Return,CAGR,MDD,WinRate,Trades,CompletedCycles,ActiveT,AvgHoldDays,ProfitFactor,StabilityScore,OverfitRisk,MDD_Worse,Score
20,13.0%,관찰,SOXL,raor4_step24q,20,11.0,22.5,14874004050,14774.0,36.35,-55.22,83.47,1137,66,3.12,3.4,4.37,68.5,보통,15.74,108.15
27,17.5%,관찰,SOXL,raor4_step24q,20,11.5,22.5,14874004050,14774.0,36.35,-55.22,83.47,1137,66,3.12,3.4,4.37,68.5,보통,15.74,108.15
34,22.1%,관찰,SOXL,raor4_step24q,20,12.0,22.5,14874004050,14774.0,36.35,-55.22,83.47,1137,66,3.12,3.4,4.37,68.5,보통,15.74,108.15
41,26.6%,관찰,SOXL,raor4_step24q,20,12.5,22.5,14874004050,14774.0,36.35,-55.22,83.47,1137,66,3.12,3.4,4.37,68.5,보통,15.74,108.15
48,31.2%,관찰,SOXL,raor4_step24q,20,13.0,22.5,14874004050,14774.0,36.35,-55.22,83.47,1137,66,3.12,3.4,4.37,68.5,보통,15.74,108.15
55,35.7%,관찰,SOXL,raor4_step24q,20,13.5,22.5,14874004050,14774.0,36.35,-55.22,83.47,1137,66,3.12,3.4,4.37,68.5,보통,15.74,108.15
62,40.3%,관찰,SOXL,raor4_step24q,20,14.0,22.5,14874004050,14774.0,36.35,-55.22,83.47,1137,66,3.12,3.4,4.37,68.5,보통,15.74,108.15
69,44.8%,관찰,SOXL,raor4_step24q,20,14.5,22.5,14874004050,14774.0,36.35,-55.22,83.47,1137,66,3.12,3.4,4.37,68.5,보통,15.74,108.15
76,49.4%,관찰,SOXL,raor4_step24q,20,15.0,22.5,14874004050,14774.0,36.35,-55.22,83.47,1137,66,3.12,3.4,4.37,68.5,보통,15.74,108.15
6,3.9%,관찰,SOXL,raor4_step24q,20,10.0,22.5,14706560137,14606.56,36.25,-55.22,83.36,1136,66,3.12,3.4,4.35,68.5,보통,15.74,107.9
84,54.5%,관찰,SOXL,raor4_step24q,40,10.0,25.0,6326035431,6226.04,29.31,-52.54,89.16,812,56,3.12,3.6,6.14,81.4,낮음,9.29,107.62
91,59.1%,관찰,SOXL,raor4_step24q,40,10.5,25.0,5313343403,5213.34,27.92,-62.88,88.56,804,56,3.12,3.7,5.27,60.7,보통,19.63,86.39
98,63.6%,관찰,SOXL,raor4_step24q,40,11.0,25.0,5313343403,5213.34,27.92,-62.88,88.56,804,56,3.12,3.7,5.27,60.7,보통,19.63,86.39
105,68.2%,관찰,SOXL,raor4_step24q,40,11.5,25.0,5313343403,5213.34,27.92,-62.88,88.56,804,56,3.12,3.7,5.27,60.7,보통,19.63,86.39
112,72.7%,관찰,SOXL,raor4_step24q,40,12.0,25.0,5313343403,5213.34,27.92,-62.88,88.56,804,56,3.12,3.7,5.27,60.7,보통,19.63,86.39
119,77.3%,관찰,SOXL,raor4_step24q,40,12.5,25.0,5313343403,5213.34,27.92,-62.88,88.56,804,56,3.12,3.7,5.27,60.7,보통,19.63,86.39
126,81.8%,관찰,SOXL,raor4_step24q,40,13.0,25.0,5313343403,5213.34,27.92,-62.88,88.56,804,56,3.12,3.7,5.27,60.7,보통,19.63,86.39
133,86.4%,관찰,SOXL,raor4_step24q,40,13.5,25.0,5313343403,5213.34,27.92,-62.88,88.56,804,56,3.12,3.7,5.27,60.7,보통,19.63,86.39
140,90.9%,관찰,SOXL,raor4_step24q,40,14.0,25.0,5313343403,5213.34,27.92,-62.88,88.56,804,56,3.12,3.7,5.27,60.7,보통,19.63,86.39
