Date,Close,Action,CurrentSplit,BuyAmount,SellAmount,Shares,AvgPrice,Cash,StockValue,TotalAsset,Peak,Drawdown
2022-05-20,281.4859313964844,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,73285445.62591094,290490516.6464752,319417832.3568487,-0.0905626198040702
2022-05-23,286.1662292480469,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,74503970.87160297,291709041.8921672,319417832.3568487,-0.08674778818774798
2022-05-24,280.0817565917969,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,72919865.80532213,290124936.82588637,319417832.3568487,-0.09170713893717986
2022-05-25,284.0015563964844,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,73940393.80835848,291145464.82892275,319417832.3568487,-0.08851217641581298
2022-05-26,291.8704833984375,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,75989085.26187067,293194156.28243494,319417832.3568487,-0.08209834711143205
2022-05-27,301.3970031738281,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,78469334.429351,295674405.4499153,319417832.3568487,-0.07433344197392096
2022-05-31,300.5974426269531,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,78261167.18386228,295466238.2044265,319417832.3568487,-0.07498515025192405
2022-06-01,298.3742370605469,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,77682351.00699767,294887422.0275619,319417832.3568487,-0.07679724750583686
2022-06-02,306.5454406738281,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,79809740.80274521,297014811.8233095,319417832.3568487,-0.07013703764826418
2022-06-03,298.5693054199219,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,77733137.45864515,294938208.4792094,319417832.3568487,-0.0766382505854934
2022-06-06,299.5638122558594,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,77992059.37452249,295197130.39508677,319417832.3568487,-0.07582764488459415
2022-06-07,302.1478271484375,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,78664813.00724256,295869884.0278068,319417832.3568487,-0.07372145805164218
2022-06-08,299.973388671875,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,78098693.44328982,295303764.4638541,319417832.3568487,-0.07549380607546911
2022-06-09,291.938720703125,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,76006850.98556964,293211922.0061339,319417832.3568487,-0.08204272803854595
2022-06-10,281.641845703125,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,73326038.23878123,290531109.2593455,319417832.3568487,-0.0904355366898597
2022-06-13,268.5466003417969,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,69916663.96872647,287121734.9892907,319417832.3568487,-0.10110924969109833
2022-06-14,269.0340576171875,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,70043574.48064215,287248645.5012064,319417832.3568487,-0.10071193151077237
2022-06-15,275.7523498535156,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,71792695.78820373,288997766.808768,319417832.3568487,-0.09523596514203349
2022-06-16,264.6268005371094,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,68896135.9656901,286101206.98625433,319417832.3568487,-0.1043042122124652
2022-06-17,267.8444519042969,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,69733858.16780263,286938929.1883669,319417832.3568487,-0.10168155900637661
2022-06-21,274.60211181640625,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,71493228.93134438,288698299.95190865,319417832.3568487,-0.09617350471097268
2022-06-22,274.2015991210937,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,71388954.62104689,288594025.64161116,319417832.3568487,-0.09649995583465631
2022-06-23,278.2852478027344,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,72452141.01877901,289657212.03934324,319417832.3568487,-0.09317144286502255
2022-06-24,287.8202514648437,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,74934598.98374963,292139670.0043139,319417832.3568487,-0.08539962265494333
2022-06-27,285.7100830078125,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,74385212.25258312,291590283.27314734,319417832.3568487,-0.08711958527291257
2022-06-28,277.0054016113281,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,72118930.41033223,289324001.4308965,319417832.3568487,-0.09421462384833865
2022-06-29,277.2593994140625,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,72185059.2646911,289390130.2852554,319417832.3568487,-0.0940075945354449
2022-06-30,273.8205871582031,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,71289757.36685123,288494828.38741547,319417832.3568487,-0.09681051224117801
2022-07-01,275.6278991699219,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,71760294.79480284,288965365.8153671,319417832.3568487,-0.09533740278927379
2022-07-05,280.3465881347656,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,72988815.24640423,290193886.2669685,319417832.3568487,-0.09149127922586264
2022-07-06,282.14422607421875,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,73456834.00959173,290661905.030156,319417832.3568487,-0.09002605494663497
2022-07-07,288.1817626953125,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,75028719.1818435,292233790.2024078,319417832.3568487,-0.0851049609655836
2022-07-08,288.54327392578125,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,75122839.37993737,292327910.4005016,319417832.3568487,-0.08481029927622406
2022-07-11,282.3786926269531,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,73517877.86253409,290722948.88309836,319417832.3568487,-0.0898349452252649
2022-07-12,279.6432189941406,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,72805691.63289186,290010762.6534561,319417832.3568487,-0.0920645835156113
2022-07-13,279.0668334960937,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,72655628.47390157,289860699.4944658,319417832.3568487,-0.09253438558609374
2022-07-14,280.063232421875,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,72915042.99929115,290120114.0198554,319417832.3568487,-0.09172223767476567
2022-07-15,285.1434326171875,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,74237683.64898638,291442754.66955066,319417832.3568487,-0.0875814524219948
2022-07-18,282.7303771972656,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,73609439.66929027,290814510.6898545,319417832.3568487,-0.08954829308039076
2022-07-19,291.4252014160156,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,75873155.17488877,293078226.19545305,319417832.3568487,-0.08246128892381144
2022-07-20,296.04620361328125,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,77076242.67409284,294281313.6946571,319417832.3568487,-0.07869478819238086
2022-07-21,300.29608154296875,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,78182707.20106836,295387778.2216326,319417832.3568487,-0.07523078457426292
2022-07-22,295.0302124023437,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,76811727.25665732,294016798.27722156,319417832.3568487,-0.07952290544395627
2022-07-25,293.34979248046875,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,76374226.44728366,293579297.46784794,319417832.3568487,-0.08089258729967949
2022-07-26,287.58575439453125,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,74873547.18549256,292078618.20605683,319417832.3568487,-0.08559075725067514
2022-07-27,299.7391357421875,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,78037705.20755045,295242776.2281147,319417832.3568487,-0.07568474167630689
