Date,Close,RSI,Mode,Action,BuyAmount,SellAmount,Shares,Cash,StockValue,TotalAsset
2021-07-09,350.7413024902344,77.06276235643995,과열,관망,0,0.0,0.0,138124819.15683827,0.0,138124819.15683827
2021-07-16,347.4283142089844,67.72420214240921,상승,매수,1000000,0.0,2878.291604634394,137124819.15683827,1000000.0,138124819.15683827
2021-07-23,357.72686767578125,70.57449973747156,과열,전량매도,0,1029642.2399833599,0.0,138154461.39682162,0.0,138154461.39682162
2021-07-30,354.2001342773437,69.45321052107808,상승,매수,1000000,0.0,2823.262622529064,137154461.39682162,1000000.0,138154461.39682162
2021-08-06,357.5810546875,72.48854062279624,과열,전량매도,0,1009545.2262237399,0.0,138164006.62304536,0.0,138164006.62304536
2021-08-13,358.3292541503906,77.05807261103627,과열,관망,0,0.0,0.0,138164006.62304536,0.0,138164006.62304536
2021-08-20,357.2701721191406,85.97740157070778,과열,관망,0,0.0,0.0,138164006.62304536,0.0,138164006.62304536
2021-08-27,365.3438720703125,87.61963481873666,과열,관망,0,0.0,0.0,138164006.62304536,0.0,138164006.62304536
2021-09-03,370.7165222167969,87.35350982757578,과열,관망,0,0.0,0.0,138164006.62304536,0.0,138164006.62304536
2021-09-10,365.8782653808594,80.60622507053662,과열,관망,0,0.0,0.0,138164006.62304536,0.0,138164006.62304536
2021-09-17,363.19671630859375,75.48102587794983,과열,관망,0,0.0,0.0,138164006.62304536,0.0,138164006.62304536
2021-09-24,363.1130676269531,74.84178860838355,과열,관망,0,0.0,0.0,138164006.62304536,0.0,138164006.62304536
