검증순서,진행률,판정,Ticker,Strategy,분할수,첫매수LOC여유율,지정가매도%,FinalAsset,Return,CAGR,MDD,WinRate,Trades,CompletedCycles,ActiveT,AvgHoldDays,ProfitFactor,StabilityScore,OverfitRisk,MDD_Worse,Score
148,96.1%,관찰,SOXL,raor4_step24p,40,15.0,10.0,2366427354,2266.43,21.67,-45.66,92.17,868,122,2.5,4.5,6.56,97.3,낮음,1.37,105.8
83,53.9%,관찰,SOXL,raor4_step24p,40,10.0,22.5,5034749680,4934.75,27.49,-52.93,88.52,784,64,3.12,3.3,5.64,81.1,낮음,9.45,104.89
90,58.4%,관찰,SOXL,raor4_step24p,40,10.5,22.5,5034749680,4934.75,27.49,-52.93,88.52,784,64,3.12,3.3,5.64,81.1,낮음,9.45,104.89
97,63.0%,관찰,SOXL,raor4_step24p,40,11.0,22.5,5034749680,4934.75,27.49,-52.93,88.52,784,64,3.12,3.3,5.64,81.1,낮음,9.45,104.89
104,67.5%,관찰,SOXL,raor4_step24p,40,11.5,22.5,5034749680,4934.75,27.49,-52.93,88.52,784,64,3.12,3.3,5.64,81.1,낮음,9.45,104.89
111,72.1%,관찰,SOXL,raor4_step24p,40,12.0,22.5,5034749680,4934.75,27.49,-52.93,88.52,784,64,3.12,3.3,5.64,81.1,낮음,9.45,104.89
118,76.6%,관찰,SOXL,raor4_step24p,40,12.5,22.5,5034749680,4934.75,27.49,-52.93,88.52,784,64,3.12,3.3,5.64,81.1,낮음,9.45,104.89
125,81.2%,관찰,SOXL,raor4_step24p,40,13.0,22.5,5034749680,4934.75,27.49,-52.93,88.52,784,64,3.12,3.3,5.64,81.1,낮음,9.45,104.89
132,85.7%,관찰,SOXL,raor4_step24p,40,13.5,22.5,5034749680,4934.75,27.49,-52.93,88.52,784,64,3.12,3.3,5.64,81.1,낮음,9.45,104.89
139,90.3%,관찰,SOXL,raor4_step24p,40,14.0,22.5,5034749680,4934.75,27.49,-52.93,88.52,784,64,3.12,3.3,5.64,81.1,낮음,9.45,104.89
146,94.8%,관찰,SOXL,raor4_step24p,40,14.5,22.5,5034749680,4934.75,27.49,-52.93,88.52,784,64,3.12,3.3,5.64,81.1,낮음,9.45,104.89
153,99.4%,관찰,SOXL,raor4_step24p,40,15.0,22.5,5034749680,4934.75,27.49,-52.93,88.52,784,64,3.12,3.3,5.64,81.1,낮음,9.45,104.89
84,54.5%,관찰,SOXL,raor4_step24p,40,10.0,25.0,5173104259,5073.1,27.71,-53.15,89.19,814,55,3.12,3.7,5.86,80.7,낮음,9.65,103.7
107,69.5%,관찰,SOXL,raor4_step24p,40,12.0,12.5,3062639818,2962.64,23.63,-49.27,85.12,645,118,2.5,2.8,4.55,91.3,낮음,4.35,103.36
114,74.0%,관찰,SOXL,raor4_step24p,40,12.5,12.5,3062639818,2962.64,23.63,-49.27,85.12,645,118,2.5,2.8,4.55,91.3,낮음,4.35,103.36
121,78.6%,관찰,SOXL,raor4_step24p,40,13.0,12.5,3062639818,2962.64,23.63,-49.27,85.12,645,118,2.5,2.8,4.55,91.3,낮음,4.35,103.36
